LAB.001.001:CLKIN.0 TCLK.001.001.0000
MLAB.003.001.7:D GOUT.003.001.0061
MLAB.003.001.7:E1 GOUT.003.001.0062
MLAB.003.001.7:F1 GOUT.003.001.0063
MLAB.003.001.8:E0 GOUT.003.001.0064
MLAB.003.001.8:F0 GOUT.003.001.0065
MLAB.003.001.8:A GOUT.003.001.0066
MLAB.003.001.8:B GOUT.003.001.0067
MLAB.003.001.8:C GOUT.003.001.0068
MLAB.003.001.8:D GOUT.003.001.0069
MLAB.003.001.8:E1 GOUT.003.001.0070
MLAB.003.001.8:F1 GOUT.003.001.0071
MLAB.003.001.9:E0 GOUT.003.001.0072
MLAB.003.001.9:F0 GOUT.003.001.0073
MLAB.003.001.9:A GOUT.003.001.0074
MLAB.003.001.9:B GOUT.003.001.0075
MLAB.003.001.9:C GOUT.003.001.0076
MLAB.003.001.9:D GOUT.003.001.0077
MLAB.003.001.9:E1 GOUT.003.001.0078
MLAB.003.001.9:F1 GOUT.003.001.0079
MLAB.003.001:DATAIN.0 GOUT.003.001.0080
MLAB.003.001:DATAIN.1 GOUT.003.001.0081
MLAB.003.001:DATAIN.2 GOUT.003.001.0082
MLAB.003.001:DATAIN.3 GOUT.003.001.0083
M10K.005.001:BYTEENABLEA.0 GOUT.005.001.0000
M10K.005.001:BYTEENABLEA.1 GOUT.005.001.0001
M10K.005.001:ADDRA.1 GOUT.005.001.0002
M10K.005.001:ADDRA.2 GOUT.005.001.0003
M10K.005.001:ADDRA.3 GOUT.005.001.0004
M10K.005.001:CLKIN.6 GOUT.005.001.0005
M10K.005.001:ACLR.0 GOUT.005.001.0006
M10K.005.001:ADDRSTALLA GOUT.005.001.0007
M10K.005.001:ADDRSTALLB GOUT.005.001.0008
M10K.005.001:ADDRA.4 GOUT.005.001.0009
M10K.005.001:ADDRA.5 GOUT.005.001.0010
M10K.005.001:ADDRA.6 GOUT.005.001.0011
M10K.005.001:ADDRA.7 GOUT.005.001.0012
M10K.005.001:ADDRA.8 GOUT.005.001.0013
M10K.005.001:ADDRA.9 GOUT.005.001.0014
M10K.005.001:ADDRA.10 GOUT.005.001.0015
M10K.005.001:ADDRA.11 GOUT.005.001.0016
M10K.005.001:WREN.0 GOUT.005.001.0017
M10K.005.001:ENABLE.0 GOUT.005.001.0018
M10K.005.001:ENABLE.1 GOUT.005.001.0019
M10K.005.001:RDEN.0 GOUT.005.001.0020
M10K.005.001:BYTEENABLEB.0 GOUT.005.001.0023
M10K.005.001:BYTEENABLEB.1 GOUT.005.001.0024
M10K.005.001:ADDRB.3 GOUT.005.001.0025
M10K.005.001:ADDRB.2 GOUT.005.001.0026
M10K.005.001:ADDRB.1 GOUT.005.001.0027
M10K.005.001:CLKIN.7 GOUT.005.001.0028
M10K.005.001:ACLR.1 GOUT.005.001.0029
M10K.005.001:ADDRB.11 GOUT.005.001.0030
M10K.005.001:ADDRB.10 GOUT.005.001.0031
M10K.005.001:ADDRB.9 GOUT.005.001.0032
M10K.005.001:ADDRB.8 GOUT.005.001.0033
M10K.005.001:ADDRB.7 GOUT.005.001.0034
M10K.005.001:ADDRB.6 GOUT.005.001.0035
M10K.005.001:ADDRB.5 GOUT.005.001.0036
M10K.005.001:ADDRB.4 GOUT.005.001.0037
M10K.005.001:WREN.1 GOUT.005.001.0038
M10K.005.001:ENABLE.2 GOUT.005.001.0039
M10K.005.001:ENABLE.3 GOUT.005.001.0040
M10K.005.001:RDEN.1 GOUT.005.001.0041
M10K.005.001:ADDRA.0 GOUT.005.001.0042
M10K.005.001:DATAAIN.0 GOUT.005.001.0043
M10K.005.001:DATABIN.0 GOUT.005.001.0044
M10K.005.001:DATAAIN.10 GOUT.005.001.0045
M10K.005.001:DATABIN.10 GOUT.005.001.0046
M10K.005.001:DATAAIN.1 GOUT.005.001.0047
M10K.005.001:DATABIN.1 GOUT.005.001.0048
M10K.005.001:DATAAIN.11 GOUT.005.001.0049
M10K.005.001:DATABIN.11 GOUT.005.001.0050
M10K.005.001:DATAAIN.2 GOUT.005.001.0051
M10K.005.001:DATABIN.2 GOUT.005.001.0052
M10K.005.001:DATAAIN.12 GOUT.005.001.0053
M10K.005.001:DATABIN.12 GOUT.005.001.0054
M10K.005.001:DATAAIN.3 GOUT.005.001.0055
M10K.005.001:DATABIN.3 GOUT.005.001.0056
M10K.005.001:DATAAIN.13 GOUT.005.001.0057
M10K.005.001:DATABIN.13 GOUT.005.001.0058
M10K.005.001:DATAAIN.4 GOUT.005.001.0059
M10K.005.001:DATABIN.4 GOUT.005.001.0060
M10K.005.001:DATAAIN.14 GOUT.005.001.0061
M10K.005.001:DATABIN.14 GOUT.005.001.0062
M10K.005.001:DATAAIN.5 GOUT.005.001.0063
M10K.005.001:ADDRB.0 GOUT.005.001.0064
M10K.005.001:DATABIN.19 GOUT.005.001.0065
M10K.005.001:DATAAIN.19 GOUT.005.001.0066
M10K.005.001:DATABIN.9 GOUT.005.001.0067
M10K.005.001:DATAAIN.9 GOUT.005.001.0068
M10K.005.001:DATABIN.18 GOUT.005.001.0069
M10K.005.001:DATAAIN.18 GOUT.005.001.0070
M10K.005.001:DATABIN.8 GOUT.005.001.0071
M10K.005.001:DATAAIN.8 GOUT.005.001.0072
M10K.005.001:DATABIN.17 GOUT.005.001.0073
M10K.005.001:DATAAIN.17 GOUT.005.001.0074
M10K.005.001:DATABIN.7 GOUT.005.001.0075
M10K.005.001:DATAAIN.7 GOUT.005.001.0076
M10K.005.001:DATABIN.16 GOUT.005.001.0077
M10K.005.001:DATAAIN.16 GOUT.005.001.0078
M10K.005.001:DATABIN.6 GOUT.005.001.0079
M10K.005.001:DATAAIN.6 GOUT.005.001.0080
M10K.005.001:DATABIN.15 GOUT.005.001.0081
M10K.005.001:DATAAIN.15 GOUT.005.001.0082
M10K.005.001:DATABIN.5 GOUT.005.001.0083
DSP.020.002:DATAIN.0 GOUT.020.002.0000
DSP.020.002:DATAIN.1 GOUT.020.002.0001
DSP.020.002:DATAIN.2 GOUT.020.002.0002
DSP.020.002:DATAIN.3 GOUT.020.002.0003
DSP.020.002:DATAIN.4 GOUT.020.002.0004
DSP.020.002:DATAIN.5 GOUT.020.002.0005
DSP.020.002:DATAIN.6 GOUT.020.002.0006
